"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","3581","TC008 - Soyisim alanı boş bırakıldığında hata vermesi test edilir.","Surefire suite","Tue Jul 29 15:27:11 GMT+03:00 2025","passed","Tue Jul 29 15:27:15 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptySurnameFieldCheck"
"","3621","TC006 - E-posta alanı boş bırakıldığında hata vermesi test edilir.","Surefire suite","Tue Jul 29 15:26:30 GMT+03:00 2025","passed","Tue Jul 29 15:26:33 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyEmailFieldCheck"
"","6343","TC003 - Şifre alanındaki göz ikonuna tıklanınca şifrenin görünürlüğünün değişip değişmediği test edilir.","Surefire suite","Tue Jul 29 15:27:38 GMT+03:00 2025","passed","Tue Jul 29 15:27:44 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","PasswordVisibleIconCheck"
"","3487","TC013 - Rıza metni ve hizmet şartları alanının seçilmemesi durumunda alınacak hata test edilir.","Surefire suite","Tue Jul 29 15:27:05 GMT+03:00 2025","passed","Tue Jul 29 15:27:09 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyPoliciesCheck"
"","4485","TC014 - Bilgiler doldurulmadan Hesap Oluştur butonuna basınca uyarı çıkması test edilir..","Surefire suite","Tue Jul 29 15:26:36 GMT+03:00 2025","passed","Tue Jul 29 15:26:41 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyFieldsErrorCheck"
"","3577","TC004 - Varolan bir kullanıcı ile kayıt olma işlemi test edilir.","Surefire suite","Tue Jul 29 15:27:18 GMT+03:00 2025","passed","Tue Jul 29 15:27:22 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","ExistingUserRegisterTest"
"","3595","TC012 - Şifre tekrar edilmediğinde alınan hata test edilir.","Surefire suite","Tue Jul 29 15:27:31 GMT+03:00 2025","passed","Tue Jul 29 15:27:35 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","PasswordRepeatCheck"
"","3611","TC007 - İsim alanı boş bırakıldığında hata vermesi test edilir.","Surefire suite","Tue Jul 29 15:26:44 GMT+03:00 2025","passed","Tue Jul 29 15:26:47 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyNameFieldCheck"
"","3577","TC010 - Telefon numarasının boş bırakıldığında hata verip vermediği test edilir.","Surefire suite","Tue Jul 29 15:26:58 GMT+03:00 2025","passed","Tue Jul 29 15:27:02 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyPhoneNumberCheck"
"","3367","TC001 - Başarılı kullanıcı kaydı oluşturma test edilir.","Surefire suite","Tue Jul 29 15:27:48 GMT+03:00 2025","passed","Tue Jul 29 15:27:51 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","SuccessRegister"
"","3521","TC009 - Telefon numarasının doğru formatta girilip girilmediği test edilir.","Surefire suite","Tue Jul 29 15:27:54 GMT+03:00 2025","passed","Tue Jul 29 15:27:57 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","WrongFormatPhoneNumberCheck"
"","6451","TC002 - Register sayfasındaki Giriş Yap butonunun çalışması test edilir.","Surefire suite","Tue Jul 29 15:26:12 GMT+03:00 2025","passed","Tue Jul 29 15:26:19 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","CheckLogin"
"","3606","TC011 - Şifrenin en az 6 karakter olma kuralı test edilir.","Surefire suite","Tue Jul 29 15:27:25 GMT+03:00 2025","passed","Tue Jul 29 15:27:28 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","PasswordMin6CharsCheck"
"","3587","TC011 - Şifre tekrar girildiğinde input'un üstündeki labelda yazan text test edilir.","Surefire suite","Tue Jul 29 15:26:51 GMT+03:00 2025","failed","Tue Jul 29 15:26:54 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyPasswordRepeatInputErrorCheck"
"","3642","TC005 - E-posta alanına emoji ve özel semboller girildiğinde sistemin geçersiz e-mail uyarısı vermesi test edilir.","Surefire suite","Tue Jul 29 15:26:22 GMT+03:00 2025","passed","Tue Jul 29 15:26:26 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmailWithSymbolCheck"
