"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","3584","TC005 - E-posta alanına emoji ve özel semboller girildiğinde sistemin geçersiz e-mail uyarısı vermesi test edilir.","Surefire suite","Mon Aug 04 18:27:15 GMT+03:00 2025","passed","Mon Aug 04 18:27:19 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmailWithSymbolCheck"
"","3538","TC006 - E-posta alanı boş bırakıldığında hata vermesi test edilir.","Surefire suite","Mon Aug 04 18:27:22 GMT+03:00 2025","passed","Mon Aug 04 18:27:25 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyEmailFieldCheck"
"","3602","TC009 - Telefon numarasının doğru formatta girilip girilmediği test edilir.","Surefire suite","Mon Aug 04 18:28:43 GMT+03:00 2025","passed","Mon Aug 04 18:28:46 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","WrongFormatPhoneNumberCheck"
"","3369","TC001 - Başarılı kullanıcı kaydı oluşturma test edilir.","Surefire suite","Mon Aug 04 18:28:36 GMT+03:00 2025","passed","Mon Aug 04 18:28:40 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","SuccessRegister"
"","3640","TC010 - Telefon numarasının boş bırakıldığında hata verip vermediği test edilir.","Surefire suite","Mon Aug 04 18:27:45 GMT+03:00 2025","passed","Mon Aug 04 18:27:49 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyPhoneNumberCheck"
"","3594","TC004 - Varolan bir kullanıcı ile kayıt olma işlemi test edilir.","Surefire suite","Mon Aug 04 18:28:05 GMT+03:00 2025","passed","Mon Aug 04 18:28:09 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","ExistingUserRegisterTest"
"","6452","TC002 - Register sayfasındaki Giriş Yap butonunun çalışması test edilir.","Surefire suite","Mon Aug 04 18:27:05 GMT+03:00 2025","passed","Mon Aug 04 18:27:12 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","CheckLogin"
"","3591","TC007 - İsim alanı boş bırakıldığında hata vermesi test edilir.","Surefire suite","Mon Aug 04 18:27:36 GMT+03:00 2025","passed","Mon Aug 04 18:27:40 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyNameFieldCheck"
"","4448","TC014 - Bilgiler doldurulmadan Hesap Oluştur butonuna basınca uyarı çıkması test edilir.","Surefire suite","Mon Aug 04 18:27:29 GMT+03:00 2025","passed","Mon Aug 04 18:27:33 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyFieldsErrorCheck"
"","6347","TC003 - Şifre alanındaki göz ikonuna tıklanınca şifrenin görünürlüğünün değişip değişmediği test edilir.","Surefire suite","Mon Aug 04 18:28:26 GMT+03:00 2025","passed","Mon Aug 04 18:28:33 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","PasswordVisibleIconCheck"
"","3566","TC013 - Rıza metni ve hizmet şartları alanının seçilmemesi durumunda alınacak hata test edilir.","Surefire suite","Mon Aug 04 18:27:52 GMT+03:00 2025","passed","Mon Aug 04 18:27:55 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptyPoliciesCheck"
"","3612","TC012 - Şifre tekrar edilmediğinde alınan hata test edilir.","Surefire suite","Mon Aug 04 18:28:19 GMT+03:00 2025","passed","Mon Aug 04 18:28:23 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","PasswordRepeatCheck"
"","3604","TC011 - Şifrenin en az 6 karakter olma kuralı test edilir.","Surefire suite","Mon Aug 04 18:28:12 GMT+03:00 2025","passed","Mon Aug 04 18:28:16 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","PasswordMin6CharsCheck"
"","3535","TC008 - Soyisim alanı boş bırakıldığında hata vermesi test edilir.","Surefire suite","Mon Aug 04 18:27:58 GMT+03:00 2025","passed","Mon Aug 04 18:28:02 GMT+03:00 2025","RegisterTests","Surefire test","RegisterTests","EmptySurnameFieldCheck"
